Colony,File_Name,Date,Time,Individual,With,Event,Duration,Location,Notes
Castaneus_01,527pm18min.mp4,6/26/22,0:00,643,NA,Idle,0:00,Outside,69+/-5 total ants
Castaneus_01,527pm18min.mp4,6/26/22,0:01,643,NA,Foraging 1:6,0:00,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,0:02,643,NA,Walking,0:01,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,0:03,643,NA,Idle,0:01,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,0:05,643,NA,Walking,5:46,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,5:52,643,NA,Foraging 6:1,0:02,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,5:54,643,NA,Walking,1:09,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,7:03,643,NA,Idle,1:46,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,8:49,643,NA,Walking,0:21,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,9:10,643,459,Sharing,0:03,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,9:13,643,NA,Foraging Water,2:18,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,11:31,643,NA,Walking,4:01,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,15:32,643,NA,Idle,###############################################################################################################################################################################################################################################################,Inside,
,,,,,,,,,
Castaneus_01,527pm18min.mp4,6/26/22,0:53,564,NA,Idle,9:31,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,10:24,564,NA,Tending Brood,3:08,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,13:32,564,NA,Idle,2:51,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,16:23,564,NA,Tending Brood,2:30,Inside,
,,,,,,,,,
Castaneus_01,527pm18min.mp4,6/26/22,0:53,459,NA,Idle,1:49,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,2:42,459,NA,Walking,0:33,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,3:15,459,NA,Idle,2:21,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,5:36,459,NA,Walking,###############################################################################################################################################################################################################################################################,Outside,
,,,,,,,,,
Castaneus_01,527pm18min.mp4,6/26/22,9:13,459,NA,Walking,1:19,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,10:32,459,166,Sharing,3:39,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,14:11,459,NA,Walking,0:09,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,14:20,459,NA,Foraging Water,0:04,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,14:24,459,NA,Walking,0:33,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,14:57,459,NA,Foraging 1:6,0:05,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,15:02,459,NA,Walking,2:20,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,17:22,459,NA,Foraging Water,0:06,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,17:28,459,NA,Walking,1:25,Outside,
Castaneus_01,527pm18min.mp4,6/26/22,0:53,646,NA,Idle,8:58,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,9:51,646,NA,Tending Brood,5:02,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,14:53,646,NA,Idle,3:28,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,18:21,646,425,Sharing,0:32,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,0:53,164,NA,Idle,0:23,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,1:16,164,NA,Tending Brood,1:58,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,3:14,164,NA,Idle,15:39,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,0:53,46,NA,Idle,9:48,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,10:41,46,NA,Tending Brood,1:14,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,11:55,46,NA,Idle,6:58,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,0:53,425,NA,Idle,0:21,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,1:14,425,NA,Tending Brood,0:05,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,1:19,425,NA,Walking,17:34,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,2:05,425,NA,Idle,5:49,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,7:54,425,NA,Walking,0:07,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,8:01,425,NA,Idle,0:33,Inside,
Castaneus_01,527pm18min.mp4,6/26/22,8:34,425,NA,Walking,2:20,Inside,
